run_id,session_id,run_index_in_day,run_outcome,run_outcome_ordinal,victory_binary,character,difficulty,difficulty_ordinal,nightlord,enhanced,map,team_type,evergaol_cleared,middle_castle_visited,great_enemies_cleared,enemies_cleared,allies_rescued,runes_obtained,level,total_optional_content,loot_priority_score,buff_to_loot_ratio,risk_taking_score,combat_efficiency,runes_per_level,strategy_type,after_victory
1,1,1,final_day,2,0,recluse,depth1,1,Gladius,False,base,duo,3,False,9,79,8,362296,12,12,9,0.3,3,0.1125,27868.923076923078,speedrun,0.0
2,1,2,victory,3,1,recluse,depth1,1,Gladius,False,base,duo,4,True,13,99,8,482476,14,17,16,0.2857142857142857,5,0.13,32165.066666666666,loot_focused,0.0
3,1,3,second_day,1,0,recluse,depth1,1,Caligo,False,crater,duo,2,False,8,110,4,361842,11,10,8,0.2222222222222222,2,0.07207207207207207,30153.5,speedrun,1.0
4,1,4,second_day,1,0,recluse,depth1,1,Caligo,False,crater,trio,2,False,8,60,9,253560,10,10,8,0.2222222222222222,2,0.13114754098360656,23050.909090909092,speedrun,0.0
5,1,5,second_day,1,0,recluse,depth1,1,Caligo,False,crater,trio,3,True,8,55,17,282060,9,11,11,0.3333333333333333,4,0.14285714285714285,28206.0,high_risk_castle,0.0
6,1,6,second_day,1,0,recluse,depth1,1,Caligo,False,base,duo,4,True,11,75,3,477868,14,15,14,0.3333333333333333,5,0.14473684210526316,31857.866666666665,high_risk_castle,0.0
7,2,1,final_day,2,0,recluse,depth1,1,Adel,False,base,trio,2,True,11,85,19,430908,12,13,14,0.16666666666666666,3,0.12790697674418605,33146.769230769234,high_risk_castle,0.0
8,2,2,final_day,2,0,recluse,depth1,1,Adel,False,base,trio,2,True,14,70,16,478364,14,16,17,0.13333333333333333,3,0.19718309859154928,31890.933333333334,loot_focused,0.0
9,2,3,final_day,2,0,recluse,depth1,1,Adel,False,base,trio,4,True,16,61,19,624257,15,20,19,0.23529411764705882,5,0.25806451612903225,39016.0625,loot_focused,0.0
10,2,4,victory,3,1,recluse,depth1,1,Adel,False,base,trio,4,True,13,29,19,553195,15,17,16,0.2857142857142857,5,0.43333333333333335,34574.6875,loot_focused,0.0
11,2,5,victory,3,1,recluse,depth1,1,Libra,False,rotted_woods,trio,5,False,16,64,8,447672,13,21,16,0.29411764705882354,5,0.24615384615384617,31976.571428571428,buff_focused,1.0
12,3,1,final_day,2,0,revenant,depth1,1,Fulghor,False,mountaintop,trio,4,True,15,97,11,449800,13,19,18,0.25,5,0.15306122448979592,32128.571428571428,loot_focused,0.0
13,3,2,final_day,2,0,revenant,depth1,1,Fulghor,False,mountaintop,trio,4,True,18,143,19,603200,15,22,21,0.21052631578947367,5,0.125,37700.0,loot_focused,0.0
14,3,3,first_day,0,0,recluse,depth1,1,Fulghor,False,crater,duo,2,True,4,44,3,189101,7,6,7,0.4,3,0.08888888888888889,23637.625,high_risk_castle,0.0
15,3,4,final_day,2,0,recluse,depth1,1,Fulghor,False,crater,duo,3,False,13,111,12,498622,13,16,13,0.21428571428571427,3,0.11607142857142858,35615.857142857145,loot_focused,0.0
