run_id,run_index_in_day,character,difficulty,nightlord,enhanced,map,run_outcome,evergaol_cleared,middle_castle_visited,great_enemies_cleared,enemies_cleared,team_type,allies_rescued,runes_obtained,level,notes,run_outcome_ordinal,difficulty_ordinal,victory_binary,total_optional_content,loot_priority_score,buff_to_loot_ratio,risk_taking_score,combat_efficiency,runes_per_level,enemies_per_level,session_id,cumulative_wins_in_session,win_rate_so_far_in_session,prev_run_outcome_ordinal,after_victory,strategy_type
1,1,recluse,depth1,Gladius,False,base,final_day,3,False,9,79,duo,8,362296,12,,2,1,0,12,9,0.3,3,0.1125,27868.923076923078,6.076923076923077,1,0,0.0,,0.0,speedrun
2,2,recluse,depth1,Gladius,False,base,victory,4,True,13,99,duo,8,482476,14,,3,1,1,17,16,0.2857142857142857,5,0.13,32165.066666666666,6.6,1,1,0.5,2.0,0.0,loot_focused
3,3,recluse,depth1,Caligo,False,crater,second_day,2,False,8,110,duo,4,361842,11,,1,1,0,10,8,0.2222222222222222,2,0.07207207207207207,30153.5,9.166666666666666,1,1,0.3333333333333333,3.0,1.0,speedrun
4,4,recluse,depth1,Caligo,False,crater,second_day,2,False,8,60,trio,9,253560,10,,1,1,0,10,8,0.2222222222222222,2,0.13114754098360656,23050.909090909092,5.454545454545454,1,1,0.25,1.0,0.0,speedrun
5,5,recluse,depth1,Caligo,False,crater,second_day,3,True,8,55,trio,17,282060,9,,1,1,0,11,11,0.3333333333333333,4,0.14285714285714285,28206.0,5.5,1,1,0.2,1.0,0.0,high_risk_castle
6,6,recluse,depth1,Caligo,False,base,second_day,4,True,11,75,duo,3,477868,14,,1,1,0,15,14,0.3333333333333333,5,0.14473684210526316,31857.866666666665,5.0,1,1,0.16666666666666666,1.0,0.0,high_risk_castle
7,1,recluse,depth1,Adel,False,base,final_day,2,True,11,85,trio,19,430908,12,,2,1,0,13,14,0.16666666666666666,3,0.12790697674418605,33146.769230769234,6.538461538461538,2,0,0.0,,0.0,high_risk_castle
8,2,recluse,depth1,Adel,False,base,final_day,2,True,14,70,trio,16,478364,14,,2,1,0,16,17,0.13333333333333333,3,0.19718309859154928,31890.933333333334,4.666666666666667,2,0,0.0,2.0,0.0,loot_focused
9,3,recluse,depth1,Adel,False,base,final_day,4,True,16,61,trio,19,624257,15,,2,1,0,20,19,0.23529411764705882,5,0.25806451612903225,39016.0625,3.8125,2,0,0.0,2.0,0.0,loot_focused
10,4,recluse,depth1,Adel,False,base,victory,4,True,13,29,trio,19,553195,15,,3,1,1,17,16,0.2857142857142857,5,0.43333333333333335,34574.6875,1.8125,2,1,0.25,2.0,0.0,loot_focused
