run_id,run_index_in_day,character,difficulty,nightlord,enhanced,map,run_outcome,evergaol_cleared,middle_castle_visited,great_enemies_cleared,enemies_cleared,team_type,allies_rescued,runes_obtained,level,notes
1,1,recluse,depth1,Gladius,FALSE,base,final_day,3,FALSE,9,79,duo,8,362296,12,
2,2,recluse,depth1,Gladius,FALSE,base,victory,4,TRUE,13,99,duo,8,482476,14,
3,3,recluse,depth1,Caligo,FALSE,crater,second_day,2,FALSE,8,110,duo,4,361842,11,
4,4,recluse,depth1,Caligo,FALSE,crater,second_day,2,FALSE,8,60,trio,9,253560,10,
5,5,recluse,depth1,Caligo,FALSE,crater,second_day,3,TRUE,8,55,trio,17,282060,9,
6,6,recluse,depth1,Caligo,FALSE,base,second_day,4,TRUE,11,75,duo,3,477868,14,
7,1,recluse,depth1,Adel,FALSE,base,final_day,2,TRUE,11,85,trio,19,430908,12,
8,2,recluse,depth1,Adel,FALSE,base,final_day,2,TRUE,14,70,trio,16,478364,14,
9,3,recluse,depth1,Adel,FALSE,base,final_day,4,TRUE,16,61,trio,19,624257,15,
10,4,recluse,depth1,Adel,FALSE,base,victory,4,TRUE,13,29,trio,19,553195,15,
11,5,recluse,depth1,Libra,FALSE,rotted_woods,victory,5,FALSE,16,64,trio,8,447672,13,
12,1,revenant,depth1,Fulghor,FALSE,mountaintop,final_day,4,TRUE,15,97,trio,11,449800,13,
13,2,revenant,depth1,Fulghor,FALSE,mountaintop,final_day,4,TRUE,18,143,trio,19,603200,15,
14,3,recluse,depth1,Fulghor,FALSE,crater,first_day,2,TRUE,4,44,duo,3,189101,7,
15,4,recluse,depth1,Fulghor,FALSE,crater,final_day,3,FALSE,13,111,duo,12,498622,13,
16,5,revenant,depth1,Gnoster,FALSE,crater,victory,3,FALSE,15,170,duo,7,531166,15,
17,1,recluse,depth1,Heolstor,FALSE,mountaintop,final_day,4,FALSE,15,73,trio,11,393516,13,
18,2,revenant,depth1,Heolstor,FALSE,rotted_woods,second_day,4,TRUE,15,125,trio,14,452572,12,
19,3,revenant,depth1,Heolstor,FALSE,rotted_woord,victory,3,TRUE,17,124,trio,14,678290,10,
20,4,recluse,depth1,Caligo,FALSE,base,second_day,4,FALSE,7,105,duo,6,301820,11,
21,5,revenant,depth1,Maris,FALSE,rotted_woods,victory,4,FALSE,16,162,duo,1,606396,14,
22,1,revenant,depth1,Fulghor,FALSE,rotted_woods,final_day,6,FALSE,16,107,duo,7,560145,15,
23,2,recluse,depth1,Fulghor,FALSE,rotted_woods,victory,5,TRUE,16,87,trio,6,572936,14,
24,3,revenant,depth1,Gladius,FALSE,noklateo,victory,3,TRUE,16,122,trio,14,547297,15,
25,1,revenant,depth1,Heolstor,FALSE,crater,final_day,2,TRUE,13,118,duo,4,617940,15,
26,2,revenant,depth1,Caligo,FALSE,crater,victory,3,TRUE,16,104,duo,4,701339,15,
27,1,recluse,depth2,Gladius,TRUE,noklateo,second_day,4,FALSE,11,69,duo,10,391583,11,
28,2,revenant,depth2,Gladius,TRUE,noklateo,final_day,5,FALSE,14,109,duo,5,545957,14,
29,3,recluse,depth2,Gnoster,TRUE,noklateo,final_day,3,TRUE,16,67,duo,8,549967,15,
30,1,revenant,depth2,Adel,TRUE,base,victory,7,TRUE,17,77,duo,4,581326,15,
31,1,revenant,depth1,Gladius,FALSE,rotted_woods,victory,5,FALSE,17,71,duo,17,610622,15,
32,2,recluse,depth1,Maris,FALSE,base,victory,6,FALSE,13,133,duo,16,505573,14,
33,1,revenant,depth1,Gnoster,FALSE,crater,second_day,3,FALSE,8,76,duo,14,409179,13,
34,2,wylder,depth1,Fulghor,FALSE,base,final_day,3,TRUE,12,76,duo,9,755445,12,
35,3,wylder,depth1,Adel,FALSE,noklateo,victory,4,FALSE,13,83,duo,20,522416,13,
36,4,wylder,depth1,Gnoster,FALSE,base,final_day,5,FALSE,11,83,duo,14,488926,14,
37,5,recluse,depth1,Caligo,FALSE,base,first_day,3,FALSE,4,34,duo,3,103642,5,
38,1,recluse,depth1,Fulghor,FALSE,base,final_day,3,TRUE,9,89,trio,32,322064,9,
39,2,wylder,depth1,Gnoster,FALSE,base,final_day,2,TRUE,12,107,trio,22,654282,15,
40,3,revenant,depth1,Fulghor,FALSE,base,final_day,6,TRUE,10,77,duo,13,703551,15,
41,4,revenant,depth1,Gnoster,FALSE,base,second_day,2,TRUE,8,80,trio,19,399524,11,
42,5,recluse,depth1,Gladius,FALSE,base,victory,5,FALSE,15,73,duo,7,466353,14,
43,6,recluse,depth1,Gnoster,FALSE,base,final_day,3,TRUE,10,89,duo,15,529452,15,
44,7,wylder,depth1,Libra,FALSE,base,victory,7,TRUE,16,56,duo,6,521847,14,
45,1,wylder,depth2,Gnoster,FALSE,base,second_day,4,FALSE,11,55,duo,6,489623,13,
46,2,recluse,depth2,Caligo,FALSE,base,final_day,4,TRUE,13,80,duo,9,688082,12,
47,3,revenant,depth2,Fulghor,TRUE,base,second_day,3,TRUE,8,65,duo,13,537663,12,
48,1,wylder,depth2,Adel,FALSE,base,victory,2,TRUE,11,129,duo,12,573430,15,
49,1,wylder,depth2,Gnoster,FALSE,base,final_day,5,FALSE,11,88,duo,8,561467,15,
50,2,recluse,depth2,Libra,FALSE,rotted_woods,victory,6,FALSE,16,78,duo,15,683928,15,
51,1,wylder,depth2,Fulghor,FALSE,base,second_day,4,TRUE,10,83,trio,24,354016,12,
52,2,revenant,depth2,Heolstor,FALSE,noklateo,final_day,3,TRUE,14,96,trio,29,432376,12,
53,3,revenant,depth2,Heolstor,FALSE,base,final_day,3,TRUE,8,139,trio,18,446664,14,
54,4,revenant,depth2,Adel,FALSE,mountaintop,victory,4,FALSE,15,113,trio,24,545960,15,
55,5,recluse,depth2,Adel,TRUE,base,final_day,6,TRUE,15,116,trio,22,539784,14,
56,1,recluse,depth2,Fulghor,FALSE,base,first_day,0,FALSE,2,36,trio,10,49920,4,
57,2,revenant,depth2,Caligo,FALSE,base,first_day,2,TRUE,4,47,trio,10,114744,7,
58,3,recluse,depth2,Gnoster,TRUE,base,second_day,3,TRUE,10,103,duo,11,522094,14,
59,4,recluse,depth2,Fulghor,FALSE,base,second_day,3,TRUE,10,70,duo,7,436530,13,
60,1,recluse,depth2,Gladius,FALSE,base,victory,6,TRUE,14,68,duo,8,535916,14,
61,2,wylder,depth2,Fulghor,TRUE,base,final_day,7,TRUE,15,76,trio,18,626480,15,
62,3,revenant,depth2,Fulghor,TRUE,crater,final_day,4,FALSE,15,102,trio,10,470472,14,
63,4,revenant,depth2,Fulghor,TRUE,crater,final_day,3,TRUE,16,108,trio,9,749760,15,
64,1,revenant,depth2,Gnoster,TRUE,rotted_woods,final_day,4,FALSE,14,102,duo,6,588793,15,
65,2,wylder,depth2,Caligo,FALSE,base,first_day,2,TRUE,5,39,duo,7,194281,9,
66,3,wylder,depth2,Caligo,FALSE,base,victory,5,TRUE,16,129,trio,32,662432,15,
67,4,guardian,depth2,Fulghor,TRUE,base,final_day,4,TRUE,12,89,trio,32,558032,15,
68,5,recluse,depth2,Gnoster,TRUE,base,final_day,6,TRUE,14,77,trio,33,551104,15,
69,1,recluse,depth2,Caligo,FALSE,base,second_day,5,FALSE,8,40,duo,9,613167,12,
70,2,revenant,depth2,Gnoster,FALSE,base,final_day,5,FALSE,15,78,duo,13,508408,14,
71,1,revenant,depth2,Gladius,FALSE,base,victory,3,TRUE,9,73,duo,17,521366,14,
72,2,recluse,depth2,Adel,FALSE,base,victory,3,TRUE,11,75,duo,12,591782,15,
73,1,recluse,depth2,Gladius,TRUE,base,final_day,4,TRUE,11,74,duo,6,583128,15,
74,1,revenant,depth2,Caligo,FALSE,base,victory,6,TRUE,13,123,duo,13,558046,14,
75,1,wylder,depth2,Heolstor,FALSE,base,final_day,6,TRUE,12,74,duo,11,616748,15,
76,1,wylder,depth2,Gladius,FALSE,rotted_woods,victory,3,FALSE,12,101,duo,10,586161,15,
77,2,recluse,depth3,Heolstor,FALSE,base,first_day,1,FALSE,1,19,duo,4,41132,4,
78,1,revenant,depth2,Adel,FALSE,base,second_day,3,TRUE,8,79,duo,12,338120,11,
79,2,wylder,depth2,Gnoster,TRUE,base,final_day,3,TRUE,11,70,duo,8,601816,15,
80,3,wylder,depth2,Fulghor,TRUE,base,victory,5,TRUE,14,62,trio,24,700032,12,
81,4,wylder,depth2,Adel,FALSE,base,victory,6,FALSE,15,78,trio,23,511559,14,
82,5,recluse,depth2,Gladius,FALSE,base,final_day,3,TRUE,12,89,trio,24,453634,13,
83,1,revenant,depth3,Caligo,FALSE,mountaintop,final_day,3,TRUE,8,91,duo,16,613759,12,
84,2,wylder,depth3,Fulghor,FALSE,base,final_day,3,TRUE,11,78,duo,16,647976,12,
85,1,guardian,depth2,Gladius,FALSE,base,victory,5,TRUE,15,68,duo,15,647345,15,
86,2,recluse,depth3,Adel,TRUE,base,final_day,6,FALSE,12,62,duo,11,623517,15,
87,3,recluse,depth2,Heolstor,FALSE,base,first_day,2,FALSE,2,22,duo,5,128954,7,
88,4,recluse,depth2,Heolstor,FALSE,base,first_day,1,TRUE,3,34,trio,2,164840,8,
89,1,guardian,depth2,Adel,FALSE,base,victory,6,TRUE,13,59,duo,13,626645,15,
90,2,wylder,depth2,Adel,FALSE,base,first_day,1,FALSE,3,42,duo,3,192369,8,
91,3,recluse,depth2,Heolstor,FALSE,base,first_day,2,FALSE,3,25,duo,6,121991,7,
92,4,recluse,depth2,Gnoster,TRUE,crater,final_day,4,FALSE,11,74,duo,13,592298,14,
93,5,recluse,depth2,Caligo,FALSE,base,victory,5,FALSE,11,53,duo,18,372223,12,
94,1,recluse,depth2,Gladius,TRUE,base,final_day,5,TRUE,9,52,duo,12,486444,14,enhanced 
95,2,recluse,depth2,Gnoster,TRUE,base,final_day,3,TRUE,9,45,duo,7,583296,15,enhanced 
96,3,wylder,depth2,Adel,FALSE,crater,victory,2,TRUE,14,85,duo,5,746024,15,
97,1,revenant,depth2,Fulghor,FALSE,base,victory,5,TRUE,13,90,duo,8,659841,15,
98,1,revenant,depth2,Adel,FALSE,base,final_day,3,TRUE,11,67,duo,20,524084,15,
99,2,guardian,depth2,Fulghor,FALSE,base,victory,3,TRUE,9,115,duo,11,539453,12,
100,1,wylder,depth3,Libra,FALSE,base,first_day,2,FALSE,4,45,duo,2,213838,9,
101,2,wylder,depth2,Adel,FALSE,base,victory,3,TRUE,10,91,duo,7,606275,15,
102,3,wylder,depth2,Heolstor,FALSE,base,victory,4,FALSE,15,86,duo,10,660553,15,
103,4,recluse,depth2,Heolstor,FALSE,base,first_day,2,FALSE,2,33,duo,4,79684,5,
